poverty,religion,degree,country,age,gender
Too Little,yes,no,USA,62,female
About Right,yes,no,USA,52,female
Too Little,yes,no,USA,68,male
About Right,yes,yes,USA,32,male
About Right,yes,yes,USA,29,male
Too Much,yes,yes,USA,31,female
About Right,yes,no,USA,32,female
Too Little,no,yes,USA,45,male
Too Little,no,yes,USA,57,female
About Right,yes,no,USA,51,female
About Right,yes,no,USA,86,female
About Right,yes,no,USA,37,female
About Right,yes,no,USA,26,male
Too Little,no,no,USA,22,male
Too Little,yes,no,USA,35,female
Too Little,no,no,USA,53,male
Too Little,yes,no,USA,33,female
Too Much,yes,yes,USA,53,female
Too Much,no,no,USA,43,male
Too Little,yes,no,USA,27,male
Too Little,no,no,USA,21,male
Too Much,yes,no,USA,28,female
Too Little,no,yes,USA,25,male
About Right,yes,yes,USA,65,male
About Right,yes,yes,USA,45,male
Too Much,yes,no,USA,65,female
Too Much,yes,no,USA,34,male
About Right,yes,no,USA,65,female
Too Little,yes,no,USA,23,male
About Right,yes,yes,USA,48,male
Too Much,yes,no,USA,35,female
Too Much,yes,yes,USA,66,male
Too Little,yes,no,USA,30,female
Too Little,no,no,USA,42,male
Too Much,yes,yes,USA,66,female
About Right,no,no,USA,27,female
Too Little,yes,no,USA,39,male
About Right,no,yes,USA,37,female
Too Little,yes,yes,USA,82,male
Too Little,yes,yes,USA,40,male
Too Little,yes,yes,USA,35,female
Too Little,yes,yes,USA,45,male
Too Little,yes,no,USA,55,male
About Right,yes,no,USA,41,female
Too Little,yes,no,USA,64,female
Too Little,yes,no,USA,50,female
About Right,yes,yes,USA,30,male
Too Much,yes,no,USA,64,male
Too Much,yes,yes,USA,62,male
About Right,yes,yes,USA,70,male
About Right,yes,no,USA,70,female
Too Little,yes,no,USA,47,female
Too Little,no,no,USA,33,female
Too Little,yes,no,USA,35,male
Too Much,yes,yes,USA,37,male
About Right,yes,no,USA,79,male
About Right,yes,no,USA,67,female
Too Much,yes,no,USA,25,female
About Right,yes,no,USA,65,male
Too Much,yes,no,USA,44,female
Too Little,no,no,USA,24,male
Too Little,yes,no,USA,73,female
Too Little,yes,no,USA,54,female
Too Little,yes,no,USA,22,male
Too Little,yes,no,USA,39,male
Too Little,yes,no,USA,31,female
Too Much,yes,yes,USA,35,male
Too Much,yes,no,USA,77,female
Too Little,no,no,USA,21,female
Too Much,no,no,USA,31,male
Too Little,no,no,USA,43,male
About Right,yes,no,USA,62,female
About Right,no,no,USA,75,male
About Right,yes,yes,USA,24,male
Too Little,yes,no,USA,47,male
About Right,yes,no,USA,76,female
Too Much,no,no,USA,29,male
About Right,yes,no,USA,68,female
Too Little,no,no,USA,40,male
Too Much,yes,no,USA,60,female
Too Little,no,yes,USA,54,female
Too Little,yes,no,USA,42,male
Too Little,no,no,USA,32,female
Too Little,no,no,USA,49,male
Too Much,yes,no,USA,52,male
Too Little,no,no,USA,42,male
Too Much,yes,no,USA,45,male
Too Much,yes,no,USA,30,female
Too Little,no,no,USA,41,female
Too Much,yes,no,USA,74,female
Too Little,yes,yes,USA,49,male
Too Much,yes,no,USA,79,male
Too Little,no,no,USA,34,female
Too Much,no,no,USA,45,female
Too Much,yes,yes,USA,57,female
About Right,no,no,USA,21,male
Too Much,yes,no,USA,82,female
Too Much,yes,no,USA,72,male
Too Little,yes,no,USA,70,female
About Right,yes,yes,USA,25,male
Too Little,yes,no,USA,74,female
Too Little,no,yes,USA,31,female
Too Little,no,no,USA,40,male
Too Little,yes,yes,USA,51,male
About Right,yes,yes,USA,30,male
Too Little,yes,yes,USA,42,female
Too Much,yes,yes,USA,56,male
About Right,yes,no,USA,57,male
About Right,yes,no,USA,53,male
Too Little,yes,no,USA,51,female
Too Much,yes,no,USA,52,male
Too Much,yes,yes,USA,61,male
Too Little,yes,no,USA,38,male
About Right,yes,yes,USA,66,male
Too Much,yes,no,USA,60,female
About Right,no,no,USA,21,female
Too Much,yes,no,USA,46,male
About Right,yes,no,USA,36,male
Too Much,yes,no,USA,29,female
Too Little,yes,no,USA,38,female
Too Much,yes,no,USA,32,male
Too Much,yes,no,USA,65,male
About Right,yes,no,USA,38,female
Too Much,yes,no,USA,66,male
Too Much,yes,no,USA,30,male
About Right,yes,yes,USA,38,female
About Right,yes,yes,USA,22,female
About Right,yes,no,USA,73,female
About Right,yes,no,USA,70,male
About Right,yes,yes,USA,46,female
Too Much,no,yes,USA,52,female
Too Much,yes,yes,USA,61,female
Too Little,yes,no,USA,20,male
Too Little,yes,no,USA,35,male
About Right,yes,no,USA,30,male
About Right,yes,no,USA,21,female
Too Much,yes,no,USA,31,male
About Right,yes,yes,USA,70,female
Too Little,no,yes,USA,46,female
Too Much,yes,no,USA,84,female
Too Much,yes,yes,USA,56,female
Too Little,yes,no,USA,72,female
Too Little,no,no,USA,25,male
Too Little,yes,no,USA,50,female
Too Little,no,no,USA,26,male
Too Little,yes,no,USA,85,female
Too Little,no,no,USA,44,male
Too Much,yes,no,USA,71,female
Too Little,yes,no,USA,30,female
About Right,no,no,USA,66,male
Too Much,yes,no,USA,49,male
Too Little,no,no,USA,29,male
Too Much,no,no,USA,42,male
About Right,no,no,USA,36,male
Too Little,yes,no,USA,29,female
Too Little,no,yes,USA,45,female
Too Little,no,yes,USA,71,male
Too Little,yes,no,USA,43,male
Too Much,yes,yes,USA,48,male
Too Little,yes,no,USA,29,male
Too Much,no,no,USA,63,male
Too Much,yes,no,USA,33,female
Too Little,yes,no,USA,30,female
Too Little,yes,no,USA,33,female
Too Little,yes,no,USA,22,female
Too Little,yes,no,USA,18,male
Too Little,yes,yes,USA,39,female
Too Much,yes,no,USA,41,male
Too Little,yes,no,USA,19,male
Too Little,yes,yes,USA,34,female
Too Little,yes,no,USA,53,female
Too Little,no,yes,USA,59,male
Too Little,yes,no,USA,64,male
About Right,yes,yes,USA,42,male
Too Much,yes,no,USA,32,female
Too Much,yes,no,USA,81,male
About Right,yes,yes,USA,77,male
Too Much,yes,no,USA,69,female
Too Much,yes,yes,USA,39,male
Too Much,yes,no,USA,68,female
About Right,yes,no,USA,77,male
About Right,yes,no,USA,40,female
Too Much,yes,yes,USA,71,male
About Right,no,no,USA,60,female
Too Much,yes,no,USA,26,female
About Right,yes,yes,USA,68,male
Too Much,yes,no,USA,37,male
About Right,no,yes,USA,43,male
Too Little,yes,no,USA,44,female
Too Little,no,no,USA,47,male
About Right,yes,no,USA,49,female
About Right,yes,no,USA,38,female
About Right,yes,no,USA,65,male
Too Little,yes,no,USA,19,female
About Right,yes,no,USA,32,female
Too Little,yes,no,USA,44,female
About Right,yes,no,USA,35,male
Too Much,yes,no,USA,30,male
Too Much,yes,no,USA,35,male
Too Much,yes,no,USA,50,female
Too Little,yes,no,USA,59,female
Too Much,yes,no,USA,53,female
Too Much,yes,no,USA,45,male
Too Much,yes,no,USA,30,male
Too Much,yes,no,USA,24,male
Too Much,yes,no,USA,30,male
Too Much,yes,no,USA,86,female
About Right,yes,yes,USA,46,male
Too Little,yes,no,USA,34,female
About Right,yes,no,USA,66,male
Too Little,yes,no,USA,55,male
About Right,yes,no,USA,66,female
Too Little,yes,no,USA,48,female
Too Much,no,no,USA,28,male
Too Little,yes,no,USA,70,female
Too Little,yes,yes,USA,27,female
Too Little,yes,no,USA,86,male
Too Little,yes,no,USA,42,male
Too Much,yes,no,USA,26,male
Too Little,no,no,USA,44,male
Too Little,no,no,USA,19,female
Too Little,yes,no,USA,69,female
Too Little,yes,no,USA,34,female
Too Little,yes,no,USA,42,male
Too Much,yes,yes,USA,31,female
Too Little,yes,no,USA,66,male
About Right,yes,no,USA,80,male
Too Much,yes,no,USA,72,female
Too Little,yes,no,USA,18,male
About Right,yes,no,USA,33,female
Too Little,no,yes,USA,28,female
Too Much,yes,yes,USA,49,female
Too Much,yes,no,USA,53,female
Too Much,yes,no,USA,37,male
Too Little,yes,no,USA,78,male
Too Much,yes,no,USA,60,female
Too Much,yes,no,USA,34,male
Too Little,no,no,USA,37,female
Too Little,yes,yes,USA,67,male
Too Little,yes,no,USA,67,female
Too Little,yes,no,USA,32,female
About Right,yes,no,USA,79,female
Too Little,no,no,USA,53,male
About Right,yes,yes,USA,77,male
Too Little,no,no,USA,41,male
Too Much,yes,no,USA,70,female
About Right,yes,no,USA,75,female
Too Little,yes,yes,USA,51,male
Too Little,yes,yes,USA,58,female
Too Much,yes,no,USA,58,female
Too Little,no,no,USA,21,female
Too Much,yes,no,USA,35,male
Too Little,no,no,USA,19,female
Too Much,yes,yes,USA,56,female
About Right,yes,yes,USA,82,male
Too Little,yes,yes,USA,51,female
Too Much,yes,no,USA,43,male
Too Little,yes,no,USA,49,male
Too Little,yes,no,USA,60,female
About Right,no,no,USA,46,male
Too Much,yes,no,USA,28,female
About Right,yes,no,USA,62,male
Too Much,no,no,USA,83,female
Too Much,yes,no,USA,55,male
Too Much,yes,no,USA,36,male
About Right,yes,no,USA,58,female
Too Little,yes,no,USA,21,male
Too Little,yes,no,USA,26,female
Too Little,yes,no,USA,25,male
About Right,yes,no,USA,77,male
Too Little,no,yes,USA,22,female
Too Little,yes,no,USA,29,female
About Right,yes,no,USA,64,female
Too Much,yes,no,USA,45,male
About Right,yes,no,USA,52,male
Too Little,yes,no,USA,72,male
About Right,yes,no,USA,78,male
About Right,no,yes,USA,54,female
About Right,yes,yes,USA,42,female
About Right,no,no,USA,42,male
About Right,no,yes,USA,35,male
About Right,no,no,USA,50,male
About Right,yes,no,USA,66,male
Too Much,yes,no,USA,38,male
Too Little,no,no,USA,66,female
About Right,no,no,USA,40,female
About Right,yes,no,USA,62,female
Too Much,no,yes,USA,58,male
Too Much,yes,yes,USA,34,male
Too Little,yes,yes,USA,57,male
Too Much,yes,yes,USA,47,male
Too Much,yes,no,USA,56,female
Too Much,yes,yes,USA,78,male
About Right,yes,no,USA,39,female
Too Little,yes,no,USA,54,male
Too Little,yes,no,USA,49,female
Too Little,yes,no,USA,56,male
Too Little,yes,yes,USA,30,male
Too Little,no,yes,USA,35,female
Too Much,yes,no,USA,47,male
Too Little,yes,yes,USA,87,female
Too Much,yes,no,USA,60,female
Too Little,yes,no,USA,42,male
Too Little,yes,no,USA,28,female
Too Much,yes,no,USA,18,male
Too Much,yes,no,USA,83,female
About Right,yes,no,USA,82,female
About Right,no,no,USA,43,female
About Right,yes,no,USA,57,male
About Right,yes,no,USA,62,male
Too Little,yes,no,USA,55,female
About Right,yes,no,USA,65,male
About Right,yes,no,USA,73,female
About Right,yes,no,USA,57,male
Too Little,yes,no,USA,63,female
Too Little,yes,no,USA,42,male
About Right,yes,no,USA,22,female
Too Much,yes,no,USA,34,female
Too Little,yes,no,USA,45,male
Too Little,no,yes,USA,44,female
About Right,yes,no,USA,53,male
Too Little,no,no,USA,67,male
Too Much,yes,no,USA,33,female
Too Little,no,no,USA,34,male
About Right,yes,yes,USA,28,male
Too Little,no,yes,USA,39,male
About Right,yes,yes,USA,23,female
Too Little,yes,yes,USA,40,female
Too Much,yes,no,USA,64,female
About Right,yes,yes,USA,37,female
Too Much,yes,no,USA,43,male
About Right,yes,yes,USA,55,male
Too Much,no,yes,USA,46,male
Too Little,yes,no,USA,67,female
Too Little,yes,no,USA,67,female
Too Little,no,no,USA,73,male
Too Little,yes,no,USA,36,male
Too Little,yes,no,USA,19,male
Too Little,yes,no,USA,22,male
About Right,no,no,USA,32,female
Too Little,no,no,USA,55,male
Too Little,yes,no,USA,82,female
About Right,no,no,USA,30,male
Too Much,yes,no,USA,76,female
Too Much,yes,yes,USA,71,female
Too Much,yes,no,USA,63,female
Too Much,yes,yes,USA,66,male
About Right,no,yes,USA,30,male
About Right,no,no,USA,30,female
About Right,yes,yes,USA,81,male
About Right,no,no,USA,61,female
Too Much,no,no,USA,65,female
About Right,yes,yes,USA,39,male
Too Much,yes,yes,USA,62,male
Too Little,yes,no,USA,38,female
Too Much,yes,no,USA,38,female
Too Little,no,no,USA,18,male
Too Little,yes,no,USA,30,female
Too Little,yes,no,USA,37,female
About Right,yes,no,USA,66,female
About Right,yes,no,USA,74,female
About Right,yes,no,USA,23,female
Too Little,yes,yes,USA,44,male
About Right,yes,no,USA,35,female
Too Little,yes,yes,USA,33,female
Too Little,yes,no,USA,45,female
Too Much,yes,yes,USA,36,male
Too Little,yes,no,USA,32,male
Too Little,yes,no,USA,59,male
About Right,no,no,USA,33,female
Too Little,yes,yes,USA,22,female
About Right,yes,no,USA,78,male
Too Much,yes,no,USA,70,female
Too Much,no,no,USA,28,male
Too Little,yes,yes,USA,35,female
Too Little,no,no,USA,26,male
Too Little,no,no,USA,27,female
Too Little,no,no,USA,31,female
Too Little,yes,no,USA,43,male
Too Little,yes,no,USA,44,male
Too Much,yes,no,USA,82,male
Too Little,yes,yes,USA,25,female
Too Little,yes,no,USA,31,female
Too Little,yes,no,USA,49,female
Too Little,yes,no,USA,32,female
Too Much,yes,no,USA,67,female
Too Little,yes,no,USA,20,female
Too Much,yes,no,USA,67,male
About Right,no,no,USA,70,male
Too Little,no,no,USA,30,female
Too Little,no,no,USA,46,female
About Right,no,no,USA,46,male
Too Much,yes,no,USA,67,male
Too Much,yes,yes,USA,28,male
Too Little,yes,no,USA,40,female
About Right,yes,yes,USA,39,female
Too Much,yes,no,USA,33,female
About Right,no,no,USA,44,male
Too Little,yes,yes,USA,33,female
Too Little,yes,yes,USA,31,female
Too Little,no,no,USA,36,female
About Right,yes,no,USA,39,male
About Right,yes,no,USA,41,male
Too Much,yes,no,USA,41,male
About Right,yes,no,USA,70,female
Too Much,yes,yes,USA,34,male
About Right,yes,yes,USA,29,male
Too Little,yes,no,USA,74,male
Too Little,no,no,USA,74,female
Too Little,yes,no,USA,33,female
About Right,yes,no,USA,18,male
Too Little,yes,no,USA,38,female
Too Little,no,no,USA,20,male
About Right,no,no,USA,62,male
Too Much,yes,no,USA,35,female
About Right,yes,no,USA,76,male
About Right,yes,no,USA,78,female
Too Much,yes,no,USA,34,female
Too Much,no,yes,USA,73,male
Too Much,yes,yes,USA,70,female
Too Much,yes,yes,USA,49,male
Too Little,yes,yes,USA,82,female
About Right,no,no,USA,42,female
About Right,yes,no,USA,56,female
Too Little,yes,no,USA,55,male
Too Much,yes,yes,USA,57,male
Too Little,no,yes,USA,46,male
Too Much,yes,yes,USA,31,female
Too Little,yes,no,USA,62,female
Too Much,yes,yes,USA,42,male
Too Little,no,no,USA,61,female
About Right,yes,no,USA,68,male
Too Little,no,no,USA,35,female
About Right,yes,no,USA,34,male
Too Little,yes,no,USA,60,female
About Right,no,no,USA,28,male
Too Little,yes,no,USA,53,female
Too Little,no,yes,USA,34,male
Too Much,yes,no,USA,22,female
About Right,yes,no,USA,37,male
Too Much,yes,no,USA,18,male
Too Much,yes,no,USA,64,female
About Right,yes,no,USA,85,female
About Right,yes,no,USA,36,male
Too Much,yes,yes,USA,27,female
About Right,yes,no,USA,66,male
Too Little,yes,yes,USA,70,male
Too Much,yes,no,USA,87,female
Too Much,yes,no,USA,34,male
Too Much,yes,no,USA,21,female
About Right,yes,no,USA,26,male
Too Much,yes,yes,USA,24,female
Too Much,yes,no,USA,65,female
Too Much,yes,no,USA,27,female
About Right,yes,no,USA,28,male
